id,full_name,short_name,brand_name,drink,category,calories,carbs,liquid,sodium,caffene,price,carry_weight,directions
84,PURE Endurance Formula,pure_endurance,PURE,1,drink,107,21,500,200,0,1.62,500.0,None
83,PURE Electrolyte Hydration,pure_electrolyte,PURE,1,sodium_drink,50,13,250,100,0,0.64,250.0,None
82,PURE Electrolyte Replacement Capsules,pure_caps,PURE,0,sodium_food,0,0,0,173,0,0.36,1.0,None
81,PURE Fluid Energy Gel,pure_fluid_gel,PURE,0,food,105,26,0,30,0,2.59,50.0,None
80,PURE Energy Gel,pure_gel,PURE,0,food,95,23,0,49,0,2.59,35.0,None
79,UCAN Hydrate Electrolyte,ucan_hydrate,UCAN,1,sodium_drink,0,0,500,300,0,0.83,500.0,None
78,UCAN EDGE Energy Gel,ucan_gel,UCAN,0,food,70,19,0,55,0,2.91,53.0,None
77,Red Bull,redbull,Red Bull,1,drink,160,40,350,150,114,2.99,350.0,None
76,Hammer Nutrition Endurolytes Extreme Powder,hammer_powder,Hammer Nutrition,0,sodium_food,5,1,0,120,0,0.39,2.0,None
75,Hammer Nutrition Endurolytes Extreme,hammer_endurolytes_extreme,Hammer Nutrition,0,sodium_food,0,0,0,110,0,0.5,5.0,None
74,Hammer Nutrition Endurolytes,hammer_endurolytes,Hammer Nutrition,0,sodium_food,0,0,0,80,0,0.42,4.0,None
73,Hammer Nutrition Endurolytes Fizz,hammer_fizz,Hammer Nutrition,1,sodium_drink,7,2,500,200,0,0.53,500.0,None
72,Hammer Nutrition Sustained Energy 2.0,hammer_energy,Hammer Nutrition,1,drink,200,43,500,80,0,1.87,500.0,None
71,Hammer Nutrition Perpetuem Solids,hammer_solids,Hammer Nutrition,0,food,100,20,0,80,0,1.33,26.0,None
70,Hammer Nutrition Gel,hammer_gel,Hammer Nutrition,0,food,90,22,0,25,0,1.6,33.0,None
69,Hammer Nutrition HEED,hammer_heed,Hammer Nutrition,1,drink,110,27,500,60,0,1.19,500.0,None
68,Hammer Nutrition Perpetuem 2.0,hammer_perpetuem,Hammer Nutrition,1,drink,180,37,500,170,0,1.25,500.0,None
67,INFINIT: GO FAR,infinit_go_far,INFINIT,1,drink,280,66,590,379,0,2.5,590.0,None
66,INFINIT: SPEED,infinit_speed,INFINIT,1,drink,230,57,590,379,0,2.05,590.0,None
65,Precision Hydration Electrolyte Capsules,precision_capsules,Precision Hydration,0,sodium_food,0,0,0,250,0,0.67,1.36,None
64,Precision Hydration PH 500,precision_ph500,Precision Hydration,1,sodium_drink,10,3,500,250,0,1.19,500.0,None
63,Precision Hydration PH 1000,precision_ph1000,Precision Hydration,1,sodium_drink,10,3,500,500,0,1.19,500.0,None
62,Precision Hydration PH 1500,precision_ph1500,Precision Hydration,1,sodium_drink,12,4,500,750,0,1.19,500.0,None
61,Precision Hydration PF 30 Chew,precision_pf30_chew,Precision Hydration,0,food,120,30,0,0,0,2.49,34.0,None
60,Precision Hydration PF 30 Drink Mix,precision_pf30_drink,Precision Hydration,1,drink,120,30,500,500,0,1.6,500.0,None
59,Precision Hydration PF 90 Gel,precision_pf90_gel,Precision Hydration,0,food,360,90,0,0,0,6.66,153.0,None
58,Precision Hydration PF 30 Caffeine Gel,precision_pf30_gel_caf,Precision Hydration,0,food,120,30,0,0,100,3.0,51.0,None
57,Precision Hydration PF 30 Gel,precision_pf30_gel,Precision Hydration,0,food,120,30,0,0,0,3.0,51.0,None
56,Coca-Cola Original,coca_cola,Coca-Cola,1,drink,240,65,590,75,57,0.76,475.0,None
55,Gatorade Endurance Formula,gatorade_formula,Gatorade,1,sodium_drink,90,22,350,300,0,0.92,350.0,None
54,Gatorade Endurance Gatorlytes,gatorade_gatorlytes,Gatorade,1,sodium_food,0,0,590,780,0,0.68,590.0,None
53,Propel Powder,propel_powder,Propel,1,sodium_drink,0,0,500,210,0,0.25,500.0,None
52,Gatorade Thirst Quencher,gatorade_quencher,Gatorade,1,sodium_drink,80,22,350,160,0,0.6,350.0,None
50,Gatorade Endurance Energy Gel + Caffeine,gatorade_gel_caf,Gatorade,0,food,80,20,0,90,30,2.16,37.0,None
49,Gatorade Endurance Energy Gel,gatorade_gel,Gatorade,0,food,80,20,0,90,0,1.83,37.0,None
48,Pickle Juice,pickle_juice,Best Maid Dill Juice,0,sodium_food,0,0,60,500,0,0.29,60.0,2 oz serving of Dill Juice
47,The Right Stuff,the_right_stuff,The Right Stuff,0,sodium_food,0,0,25,1780,0,3.0,24.0,None
